"filename", "language", "C++", "YAML", "Dart", "Markdown", "JSON", "HTML", "Swift", "XML", "Java Properties", "Properties", "comment", "blank", "total"
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\repositories\profile_repository_impl.dart", "Dart", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\repositories\promotion_repository.dart", "Dart", 0, 0, 218, 0, 0, 0, 0, 0, 0, 0, 6, 33, 257
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\repositories\stats_repository.dart", "Dart", 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 4, 33, 244
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\repositories\user_repository.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 1, 9, 54
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\use_cases\client_login.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 1, 7, 58
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\use_cases\commerce_login.dart", "Dart", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 4, 13, 90
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\domain\use_cases\product_controller.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 12, 77
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\infrastructure\services\auth_service.dart", "Dart", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 10, 15, 107
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\infrastructure\services\email_service.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 7, 5, 26
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\infrastructure\services\firestore_service.dart", "Dart", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\infrastructure\services\gemini_service.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 8, 67
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\infrastructure\services\imgbb_service.dart", "Dart", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 7, 25, 176
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\infrastructure\services\local_storage_service.dart", "Dart", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 6, 32
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\main.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 9, 59
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\providers\client-providers\auth_provider.dart", "Dart", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\providers\client-providers\cart\cart_provider.dart", "Dart", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 1, 13, 74
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\providers\client-providers\chat\chat_provider.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 6, 10, 68
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\providers\client-providers\client_dashboard_provider.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 9, 11, 54
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\providers\client-providers\components\theme_provider.dart", "Dart", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 3, 9, 58
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\providers\client-providers\dashboard\dashboard_index_provider.dart", "Dart", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 1, 9, 77
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\providers\client-providers\exit_provider.dart", "Dart", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\providers\client-providers\favorites\favorites_provider.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 6, 31
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\providers\client-providers\home\commerce_provider.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\providers\client-providers\home\home_provider.dart", "Dart", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 6, 24, 187
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\providers\client-providers\profile\imgbb_service_provider.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\providers\client-providers\profile\profile_provider.dart", "Dart", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 7, 19, 173
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\providers\commerce-providers\orders\orders_provider.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 2, 7, 51
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\providers\commerce-providers\products\products_provider.dart", "Dart", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 4, 21, 138
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\providers\commerce-providers\promotions\promotions_provider.dart", "Dart", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 5, 20, 143
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\providers\commerce-providers\stats\stats_provider.dart", "Dart", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 10, 13, 101
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\providers\commerce_providers\auth\commerce_auth_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\providers\products_provider.dart", "Dart", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 6, 15, 94
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\cart\cart_screen.dart", "Dart", 0, 0, 318, 0, 0, 0, 0, 0, 0, 0, 1, 11, 330
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\chat\chat_detail_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\chat\chat_screen.dart", "Dart", 0, 0, 366, 0, 0, 0, 0, 0, 0, 0, 2, 14, 382
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\client_dashboard\client_dashboard_screen.dart", "Dart", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 1, 11, 75
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\client_login_screen.dart", "Dart", 0, 0, 532, 0, 0, 0, 0, 0, 0, 0, 12, 32, 576
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\client_onboarding_start_screen.dart", "Dart", 0, 0, 285, 0, 0, 0, 0, 0, 0, 0, 1, 12, 298
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\client_signin_screen.dart", "Dart", 0, 0, 513, 0, 0, 0, 0, 0, 0, 0, 9, 25, 547
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\client_start_screen.dart", "Dart", 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 3, 13, 220
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\components\custom_bottom_navbar.dart", "Dart", 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 1, 9, 213
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\components\dialogs\show_edit_profile_dialog.dart", "Dart", 0, 0, 314, 0, 0, 0, 0, 0, 0, 0, 4, 4, 322
"c:\Users\jorge\Desktop\Proyectos Flutter\bombastik\lib\presentation\screens\client\components\exit_confirmation_dialog.dart", "Dart", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 1, 5, 78
